"Code","French","English"
"SECTION A","AGRICULTURE, SYLVICULTURE ET PÊCHE","AGRICULTURE, FORESTRY AND FISHING"
"01","Culture et production animale, chasse et services annexes","Crop and animal production, hunting and related service activities"
"01.1","Cultures non permanentes","Growing of non-perennial crops"
"01.11","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Growing of cereals (except rice), leguminous crops and oil seeds"
"01.11Z","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Growing of cereals (except rice), leguminous crops and oil seeds"
"01.12","Culture du riz","Growing of rice"
"01.12Z","Culture du riz","Growing of rice"
"01.13","Culture de légumes, de melons, de racines et de tubercules","Growing of vegetables and melons, roots and tubers"
"01.13Z","Culture de légumes, de melons, de racines et de tubercules","Growing of vegetables and melons, roots and tubers"
"01.14","Culture de la canne à sucre","Growing of sugar cane"
"01.14Z","Culture de la canne à sucre","Growing of sugar cane"
"01.15","Culture du tabac","Growing of tobacco"
"01.15Z","Culture du tabac","Growing of tobacco"
"01.16","Culture de plantes à fibres","Growing of fibre crops"
"01.16Z","Culture de plantes à fibres","Growing of fibre crops"
"01.19","Autres cultures non permanentes","Growing of other non-perennial crops"
"01.19Z","Autres cultures non permanentes","Growing of other non-perennial crops"
"01.2","Cultures permanentes","Growing of perennial crops"
"01.21","Culture de la vigne","Growing of grapes"
"01.21Z","Culture de la vigne","Growing of grapes"
"01.22","Culture de fruits tropicaux et subtropicaux","Growing of tropical and subtropical fruits"
"01.22Z","Culture de fruits tropicaux et subtropicaux","Growing of tropical and subtropical fruits"
"01.23","Culture d'agrumes","Growing of citrus fruits"
"01.23Z","Culture d'agrumes","Growing of citrus fruits"
"01.24","Culture de fruits à pépins et à noyau","Growing of pome fruits and stone fruits"
"01.24Z","Culture de fruits à pépins et à noyau","Growing of pome fruits and stone fruits"
"01.25","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","Growing of other tree and bush fruits and nuts"
"01.25Z","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","Growing of other tree and bush fruits and nuts"
"01.26","Culture de fruits oléagineux","Growing of oleaginous fruits"
"01.26Z","Culture de fruits oléagineux","Growing of oleaginous fruits"
"01.27","Culture de plantes à boissons","Growing of beverage crops"
"01.27Z","Culture de plantes à boissons","Growing of beverage crops"
"01.28","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Growing of spices, aromatic, drug and pharmaceutical crops"
"01.28Z","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Growing of spices, aromatic, drug and pharmaceutical crops"
"01.29","Autres cultures permanentes","Growing of other perennial crops"
"01.29Z","Autres cultures permanentes","Growing of other perennial crops"
"01.3","Reproduction de plantes","Plant propagation"
"01.30","Reproduction de plantes","Plant propagation"
"01.30Z","Reproduction de plantes","Plant propagation"
"01.4","Production animale","Animal production"
"01.41","Élevage de vaches laitières","Raising of dairy cattle"
"01.41Z","Élevage de vaches laitières","Raising of dairy cattle"
"01.42","Élevage d'autres bovins et de buffles","Raising of other cattle and buffaloes"
"01.42Z","Élevage d'autres bovins et de buffles","Raising of other cattle and buffaloes"
"01.43","Élevage de chevaux et d'autres équidés","Raising of horses and other equines"
"01.43Z","Élevage de chevaux et d'autres équidés","Raising of horses and other equines"
"01.44","Élevage de chameaux et d'autres camélidés","Raising of camels and camelids"
"01.44Z","Élevage de chameaux et d'autres camélidés","Raising of camels and camelids"
"01.45","Élevage d'ovins et de caprins","Raising of sheep and goats"
"01.45Z","Élevage d'ovins et de caprins","Raising of sheep and goats"
"01.46","Élevage de porcins","Raising of swine/pigs"
"01.46Z","Élevage de porcins","Raising of swine/pigs"
"01.47","Élevage de volailles","Raising of poultry"
"01.47Z","Élevage de volailles","Raising of poultry"
"01.49","Élevage d'autres animaux","Raising of other animals"
"01.49Z","Élevage d'autres animaux","Raising of other animals"
"01.5","Culture et élevage associés","Mixed farming"
"01.50","Culture et élevage associés","Mixed farming"
"01.50Z","Culture et élevage associés","Mixed farming"
"01.6b","Activités de soutien à l'agriculture et traitement primaire des récoltes","Support activities to agriculture and post-harvest crop activities"
"01.61","Activités de soutien aux cultures","Support activities for crop production"
"01.61Z","Activités de soutien aux cultures","Support activities for crop production"
"01.62","Activités de soutien à la production animale","Support activities for animal production"
"01.62Z","Activités de soutien à la production animale","Support activities for animal production"
"01.63","Traitement primaire des récoltes","Post-harvest crop activities"
"01.63Z","Traitement primaire des récoltes","Post-harvest crop activities"
"01.64","Traitement des semences","Seed processing for propagation"
"01.64Z","Traitement des semences","Seed processing for propagation"
"01.7","Chasse, piégeage et services annexes","Hunting, trapping and related service activities"
"01.70","Chasse, piégeage et services annexes","Hunting, trapping and related service activities"
"01.70Z","Chasse, piégeage et services annexes","Hunting, trapping and related service activities"
"02","Sylviculture et exploitation forestière","Forestry and logging"
"02.1","Sylviculture et autres activités forestières","Silviculture and other forestry activities"
"02.10","Sylviculture et autres activités forestières","Silviculture and other forestry activities"
"02.10Z","Sylviculture et autres activités forestières","Silviculture and other forestry activities"
"02.2","Exploitation forestière","Logging"
"02.20","Exploitation forestière","Logging"
"02.20Z","Exploitation forestière","Logging"
"02.3","Récolte de produits forestiers non ligneux poussant à l'état sauvage","Gathering of wild growing non-wood products"
"02.30","Récolte de produits forestiers non ligneux poussant à l'état sauvage","Gathering of wild growing non-wood products"
"02.30Z","Récolte de produits forestiers non ligneux poussant à l'état sauvage","Gathering of wild growing non-wood products"
"02.4","Services de soutien à l'exploitation forestière","Support services to forestry"
"02.40","Services de soutien à l'exploitation forestière","Support services to forestry"
"02.40Z","Services de soutien à l'exploitation forestière","Support services to forestry"
"03","Pêche et aquaculture","Fishing and aquaculture"
"03.1","Pêche","Fishing"
"03.11","Pêche en mer","Marine fishing"
"03.11Z","Pêche en mer","Marine fishing"
"03.12","Pêche en eau douce","Freshwater fishing"
"03.12Z","Pêche en eau douce","Freshwater fishing"
"03.2","Aquaculture","Aquaculture"
"03.21","Aquaculture en mer","Marine aquaculture"
"03.21Z","Aquaculture en mer","Marine aquaculture"
"03.22","Aquaculture en eau douce","Freshwater aquaculture"
"03.22Z","Aquaculture en eau douce","Freshwater aquaculture"
"SECTION B","INDUSTRIES EXTRACTIVES","MINING AND QUARRYING"
"05","Extraction de houille et de lignite","Mining of coal and lignite"
"05.1","Extraction de houille","Mining of hard coal"
"05.10","Extraction de houille","Mining of hard coal"
"05.10Z","Extraction de houille","Mining of hard coal"
"05.2","Extraction de lignite","Mining of lignite"
"05.20","Extraction de lignite","Mining of lignite"
"05.20Z","Extraction de lignite","Mining of lignite"
"06","Extraction d'hydrocarbures","Extraction of crude petroleum and natural gas"
"06.1","Extraction de pétrole brut","Extraction of crude petroleum"
"06.10","Extraction de pétrole brut","Extraction of crude petroleum"
"06.10Z","Extraction de pétrole brut","Extraction of crude petroleum"
"06.2","Extraction de gaz naturel","Extraction of natural gas"
"06.20","Extraction de gaz naturel","Extraction of natural gas"
"06.20Z","Extraction de gaz naturel","Extraction of natural gas"
"07","Extraction de minerais métalliques","Mining of metal ores"
"07.1","Extraction de minerais de fer","Mining of iron ores"
"07.10","Extraction de minerais de fer","Mining of iron ores"
"07.10Z","Extraction de minerais de fer","Mining of iron ores"
"07.2","Extraction de minerais de métaux non ferreux","Mining of non-ferrous metal ores"
"07.21","Extraction de minerais d'uranium et de thorium","Mining of uranium and thorium ores"
"07.21Z","Extraction de minerais d'uranium et de thorium","Mining of uranium and thorium ores"
"07.29","Extraction d'autres minerais de métaux non ferreux","Mining of other non-ferrous metal ores"
"07.29Z","Extraction d'autres minerais de métaux non ferreux","Mining of other non-ferrous metal ores"
"08","Autres industries extractives","Other mining and quarrying"
"08.1","Extraction de pierres, de sables et d'argiles","Quarrying of stone, sand and clay"
"08.11","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"08.11Z","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"08.12","Exploitation de gravières et sablières, extraction d'argiles et de kaolin","Operation of gravel and sand pits; mining of clays and kaolin"
"08.12Z","Exploitation de gravières et sablières, extraction d'argiles et de kaolin","Operation of gravel and sand pits; mining of clays and kaolin"
"08.9","Activités extractives n.c.a.","Mining and quarrying n.e.c."
"08.91","Extraction des minéraux chimiques et d'engrais minéraux","Mining of chemical and fertiliser minerals"
"08.91Z","Extraction des minéraux chimiques et d'engrais minéraux","Mining of chemical and fertiliser minerals"
"08.92","Extraction de tourbe","Extraction of peat"
"08.92Z","Extraction de tourbe","Extraction of peat"
"08.93","Production de sel","Extraction of salt"
"08.93Z","Production de sel","Extraction of salt"
"08.99","Autres activités extractives n.c.a.","Other mining and quarrying n.e.c."
"08.99Z","Autres activités extractives n.c.a.","Other mining and quarrying n.e.c."
"09","Services de soutien aux industries extractives","Mining support service activities"
"09.1","Activités de soutien à l'extraction d'hydrocarbures","Support activities for petroleum and natural gas extraction"
"09.10","Activités de soutien à l'extraction d'hydrocarbures","Support activities for petroleum and natural gas extraction"
"09.10Z","Activités de soutien à l'extraction d'hydrocarbures","Support activities for petroleum and natural gas extraction"
"09.9","Activités de soutien aux autres industries extractives","Support activities for other mining and quarrying"
"09.90","Activités de soutien aux autres industries extractives","Support activities for other mining and quarrying"
"09.90Z","Activités de soutien aux autres industries extractives","Support activities for other mining and quarrying"
"SECTION C","INDUSTRIE MANUFACTURIÈRE","MANUFACTURING"
"10","Industries alimentaires","Manufacture of food products"
"10.1","Transformation et conservation de la viande et préparation de produits à base de viande","Processing and preserving of meat and production of meat products"
"10.11","Transformation et conservation de la viande de boucherie","Processing and preserving of meat"
"10.11Z","Transformation et conservation de la viande de boucherie","Processing and preserving of meat"
"10.12","Transformation et conservation de la viande de volaille","Processing and preserving of poultry meat"
"10.12Z","Transformation et conservation de la viande de volaille","Processing and preserving of poultry meat"
"10.13","Préparation de produits à base de viande","Production of meat and poultry meat products"
"10.13A","Préparation industrielle de produits à base de viande","Industrial production of meat products"
"10.13B","Charcuterie","Cooked meats production and trade"
"10.2","Transformation et conservation de poisson, de crustacés et de mollusques","Processing and preserving of fish, crustaceans and molluscs"
