siren,nom,adress_siege,code_postal_siege,code_NAF,activité
782008866,SOC COOP DE VINIFICATION CAVE ST BRICE,10 RUE DE LA COLONNE,33340,11.02B,Fabrication de boissons
351652904,ALPHA BORDEAUX,5 RUE CATUSSEAU,33500,11.02B,Fabrication de boissons
330558388,SOCIETE COOPERATIVE AGRICOLE UNIVITIS,,33220,11.02B,Fabrication de boissons
392598926,LES VIGNERONS DE TUTIAC,491 RUE SIMONE VEIL,33860,11.02B,Fabrication de boissons
781899802,LES CHAIS DE FRANCS ET DE GARDEGAN,93 MILLERIE,33350,11.02B,Fabrication de boissons
778887521,SOCIETE COOP VINICOLE DE BESTHEIM,3 RUE DU GENERAL DE GAULLE,68630,11.02B,Fabrication de boissons
781889993,CAVE COOPERATIVE VINICOLE,6 RTE DU POUT,33670,11.02B,Fabrication de boissons
315999201,LES GRANDS CHAIS DE FRANCE,1 RUE DE LA DIVISION LECLERC,67290,11.02B,Fabrication de boissons
811116839,TECHNIVIN,2 DAULIBAT,33350,11.02B,Fabrication de boissons
781973557,CAVES DE RAUZAN DITES GRANGENEUVE OU LE NOBLE OU CDR,L'AIGUILLEY,33420,11.02B,Fabrication de boissons
782003628,CAVE COOP VITICULT REUNIS STE RADEGONDE,1 LE BOURG,33350,11.02B,Fabrication de boissons
797577012,LOCATION MATERIEL VINICOLE,716 RTE D'ARVEYRES,33420,11.02B,Fabrication de boissons
421110206,GEMSTAB,340 AV CLEMENT ADER,30320,11.02B,Fabrication de boissons
781954797,SOC.COOPERAT.VINIFICATI LA ROSE PAUILLAC,44 RUE DU MARECHAL JOFFRE,33250,11.02B,Fabrication de boissons
781923537,LES VIGNERONS D'UNI-MEDOC,14 RTE DE SOULAC,33340,11.02B,Fabrication de boissons
392897344,ENERGIE GOLF ORGANISATION-EGO,13 RUE PREMAYAC,33390,11.02B,Fabrication de boissons
781977533,CAVE COOPERATIVE CHAIS DE VAURE,CHAI DE VAURE,33350,11.02B,Fabrication de boissons
