siren,nom,adress_siege,code_postal_siege,code_NAF,activité
354066987,EUROFRIP'MOD,83 RUE MICHEL ANGE,75016,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
453240251,CLOCKERS,28 RUE SAINT JOHN PERSE,97110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
350317350,TI CALIN GWO BO,RES VITALINE BOISNEUF,97110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
304843907,,49 RUE DE MONTREUIL,75011,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
315493544,JUVISY SOLDES,26 RUE VICTOR HUGO,91260,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
482089216,DM DIFFUSION,10 RUE MARC VERDIER,10150,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
352291694,,8 PAS DE LA FOLIE REGNAULT,75011,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
450790878,SARL SCARABEE,23 RUE GERARD LAUTIER,76620,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
498086990,N.S.B.,25 RUE DU VAL,77160,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
489504720,JEUNESSE,26 RUE DES RIGOLES,75020,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
488173980,EUROPIA,MOLIERES,13140,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
393072657,SARL JLI,14 RUE LAFAYETTE,38000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
330242629,SARL JOSEPHA,29 RUE DU BEC,76000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
434626800,LE DROIT FIL,115 RUE MARCADET,75018,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
444791008,,4 RUE TATIN,27400,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
442943908,SARL MOJGAN,113 BD JEAN JAURES,92110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
478241052,O'XYGEN,14 RUE DES MARCHANDS,67600,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
478294481,HEADQUARTER DISTRIBUTION,15 AV GAMBETTA,93150,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
453518870,BROOKLYN STYLE S.A.R.L,21 RUE EUGENE TECLE,97300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
484333919,,26 RUE JACQUES RODALLEC,56110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
483949087,SARL SHOOT MAX,33 AV CAMILLE PELLETAN,13002,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
495237190,VENDOME FIRST,30 RUE DU COMMERCE,50100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
977020072,ETS D HABILLEMENT BOURBONNAIS,8 RUE DE L HOTEL DES POSTES,03200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
